DeviceID,SeqNum,Timestamp,ArrivalTime,MsgType,Message,Delay
1001,0,1762379402,1762379402.9252486,0,,0.9252486228942871
1001,1,1762379402,1762379402.9262476,1,temp=28.12,0.9262475967407227
1002,0,1762379403,1762379403.177725,0,,0.17772507667541504
1002,1,1762379403,1762379403.1783166,1,temp=22.28,0.17831659317016602
1001,2,1762379403,1762379403.925787,1,temp=28.36,0.9257869720458984
1002,2,1762379404,1762379404.1783624,1,temp=28.78,0.17836236953735352
1001,3,1762379404,1762379404.9261608,1,temp=20.69,0.9261608123779297
1002,3,1762379405,1762379405.1789148,1,temp=28.13,0.17891478538513184
1001,4,1762379405,1762379405.926761,1,temp=27.12,0.9267609119415283
1002,4,1762379406,1762379406.179422,1,temp=28.1,0.17942190170288086
1001,5,1762379406,1762379406.9273858,1,temp=26.37,0.9273858070373535
1002,5,1762379407,1762379407.1799557,1,temp=21.15,0.17995572090148926
1001,6,1762379407,1762379407.928,1,temp=27.07,0.9279999732971191
1002,6,1762379408,1762379408.1807823,1,temp=23.14,0.18078231811523438
1001,7,1762379408,1762379408.92835,1,temp=26.65,0.9283499717712402
1002,7,1762379409,1762379409.1813545,1,temp=28.19,0.18135452270507812
1001,8,1762379409,1762379409.9290624,1,temp=22.1,0.9290623664855957
1002,8,1762379410,1762379410.1816916,1,temp=28.61,0.18169164657592773
1001,9,1762379410,1762379410.9299448,1,temp=28.19,0.9299447536468506
1002,9,1762379411,1762379411.182061,1,temp=20.67,0.18206095695495605
1001,10,1762379411,1762379411.9303741,1,temp=20.66,0.9303741455078125
1002,10,1762379412,1762379412.1824276,1,temp=20.99,0.18242764472961426
